,CASRN,LogLD,smiles
59,10081-67-1,3.301029996,CC(C)(C1=CC=CC=C1)C2=CC=C(C=C2)NC3=CC=C(C=C3)C(C)(C)C4=CC=CC=C4
60,10085-81-1,2.84509804,CNCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24.Cl
61,10086-50-7,3.733197265,CC(C)CCOC(CC(C)C)CO
62,1009-93-4,2.698970004,C[Si]1(N[Si](N[Si](N1)(C)C)(C)C)C
63,100924-68-3,3.113943352,CN(C)C1=CC=CC=C1CS(=O)C2=NC3=CC=CC=C3N2
64,10097-26-4,4.414973348,CCCCCCC(CCCC)COC(=O)C(=C)C
65,100981-43-9,3.903089987,C1=CC(=CC=C1S(=O)(=O)NC=NCCSCC2=CSC(=N2)N=C(N)N)Br
66,100986-85-4,3.169674434,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O
67,10099-72-6,3.451786436,C(COCCOC(=O)/C=C\C(=O)O)O
68,101-02-0,3.009450896,C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3
69,101-05-3,3.525044807,C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl
70,101-10-0,2.875061263,CC(C(=O)O)OC1=CC(=CC=C1)Cl
71,101-14-4,3.056904851,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N
72,101-20-2,4.10946605,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl
73,101-25-7,2.973127854,C1N2CN(CN1CN(C2)N=O)N=O
74,101-26-8,1.574031268,C[N+]1=CC=CC(=C1)OC(=O)N(C)C.[Br-]
75,101-27-9,3.045583738,C1=CC(=CC(=C1)Cl)NC(=O)OCC#CCCl
76,101-37-1,2.878904602,C=CCOC1=NC(=NC(=N1)OCC=C)OCC=C
77,101-40-6,1.919078092,CC(CC1CCCCC1)NC
78,101-41-7,3.40654018,COC(=O)CC1=CC=CC=C1
79,101-42-8,3.770852012,CN(C)C(=O)NC1=CC=CC=C1
80,101-49-5,3.342422681,C1COC(O1)CC2=CC=CC=C2
81,101-50-8,4.170261715,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N)S(=O)(=O)O)S(=O)(=O)O
82,101-54-2,2.830588669,C1=CC=C(C=C1)NC2=CC=C(C=C2)N
83,101-70-2,3.392696953,COC1=CC=C(C=C1)NC2=CC=C(C=C2)OC
84,101-76-8,3.0,C1=CC(=CC=C1CC2=CC=C(C=C2)Cl)Cl
85,101-77-9,2.470802365,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N
86,101-80-4,2.860338007,C1=CC(=CC=C1N)OC2=CC=C(C=C2)N
87,101-81-5,3.352182518,C1=CC=C(C=C1)CC2=CC=CC=C2
88,101-83-7,2.571708832,C1CCC(CC1)NC2CCCCC2
89,101-84-8,3.476251796,C1=CC=C(C=C1)OC2=CC=CC=C2
90,101-85-9,3.602059991,CCCCC/C(=C/C1=CC=CC=C1)/CO
91,101-86-0,3.491361694,CCCCCC/C(=C/C1=CC=CC=C1)/C=O
92,101-87-1,3.301029996,C1CCC(CC1)NC2=CC=C(C=C2)NC3=CC=CC=C3
93,101-90-6,3.409933123,C1C(O1)COC2=CC(=CC=C2)OCC3CO3
94,101-97-3,3.51851394,CCOC(=O)CC1=CC=CC=C1
95,101007-06-1,3.698970004,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C
96,101030-71-1,3.198657087,C/C(=C/C(=O)NC1=CC=C(C=C1)O)/Cl
97,101030-72-2,3.290034611,CC(=CC(=O)NC1=CC=C(C=C1)O)C
98,101043-37-2,0.698970004,C[C@H]1[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)C(=C)N(C(=O)CC[C@@H](NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CCCN=C(N)N)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C
99,101152-94-7,2.328379603,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2.Cl
100,101155-02-6,3.0,CNC1=C2C(=NC=N1)N(C=N2)CC3=CC=CC=C3F
101,101200-48-0,3.698970004,CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC
102,101205-02-1,3.595496222,CCC/C(=N\OCC)/C1=C(CC(CC1=O)C2CCCSC2)O
103,101238-01-1,3.301029996,CCCCCCCCCCCC(=O)OC1CC(NC(C1)(C)C)(C)C
104,1013-99-6,2.795880017,CC1=CC(=O)C=C(O1)C2=CC=CC=C2
105,10137-69-6,3.451786436,C1CC(CC=C1)[Si](Cl)(Cl)Cl
106,10137-80-1,3.382017043,CCCCC(CC)CNC1=CC=CC=C1
107,10137-87-8,2.556302501,CCNC(C)C1=CC=CC=C1
108,10137-90-3,3.909556029,CCCCC(CC)C=CC(=O)C
109,10138-79-1,2.278753601,C(CCl)O[Si](OCCCl)OCCCl
110,1014-69-3,3.229169703,CC(C)NC1=NC(=NC(=N1)NC)SC
111,1014-70-6,2.875061263,CCNC1=NC(=NC(=N1)SC)NCC
112,1014-98-8,3.653212514,C1=CC(=CC=C1CN=C=O)CN=C=O
113,10140-75-7,2.505149978,CC(=O)OC(C(CCl)Cl)OC(=O)C
114,10140-89-3,2.204119983,C(C(C=O)Cl)Cl
115,10140-90-6,2.579783597,CC1CC(OP(=O)(O1)Cl)C
116,10140-93-9,1.397940009,CCCC1C(COP(=O)(O1)Cl)CC
117,10140-99-5,3.120573931,CCOCC(C(OCC)OCC)Cl
118,10141-07-8,3.413299764,C/C=C/C(OC(=O)\C=C\C)OC(=O)\C=C\C
119,10141-19-2,3.086359831,CC(C)CC(C)CCCC(C)COC=C
120,10143-67-6,3.5132176,CC(OCCOC)OCCOC
121,101463-69-8,3.602059991,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F
122,101477-54-7,2.487138375,COC1=C(C(=C(C=C1)CN2CCN(CC2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)OC)OC.Cl.Cl
123,101526-62-9,3.505149978,CCN(CC)CCNC(=O)C1=CC=C(C=C1)NS(=O)(=O)C.Cl
124,101530-10-3,2.814247596,C1C(S/C(=C(\C#N)/N2C=CN=C2)/S1)C3=CC=CC=C3Cl
125,1016-46-2,1.531478917,CN(C)C(=O)OC1=C2C=CSC2=CC=C1
126,101670-73-9,0.875061263,C1C[N+](OC1)(CCCl)CCCl.[I-]
127,101670-74-0,0.477121255,C[N+]1(CCCO1)CCCl.[I-]
128,101708-01-4,3.301029996,CC1=CC(=NN1)C(=O)NC2=CC=CC=C2C(F)(F)F
129,101708-02-5,3.301029996,CC1=CC(=NN1)C(=O)NC2=CC=CC(=C2)C(F)(F)F
130,101708-05-8,3.301029996,CC1=C(C(=CC=C1)NC(=O)C2=NNC(=C2)C)C
131,10171-78-5,3.752816431,CC(CNCCCO)N
132,10175-31-2,3.06069784,CN(C)CC1=CC=CC=C1Cl
133,10176-39-3,1.59117595,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2OC=O)O[C@@H]3[C@H](O[C@H](C[C@@H]3OC=O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(C[C@@H]([C@@H]7C8=CC(=O)OC8)OC=O)O)C)C)C)C)OC=O)OC=O
134,1018-71-9,3.301029996,C1=CC(=C(C(=C1)Cl)[N+](=O)[O-])C2=CNC=C2Cl
135,101827-46-7,3.602059991,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32.Cl
136,101893-08-7,3.079181246,CCCCCOC1=C(C=C(C=C1)Br)COCCN2CCOCC2
137,10193-95-0,2.607455023,C(CCOC(=O)CS)COC(=O)CS
138,101952-85-6,3.301029996,CCN(CC)CCC1=NC(=NO1)C2=CC=CC=C2O.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
139,101952-86-7,3.301029996,CC[C@H](C1=CC=C(C=C1)OP(=O)(O)O)[C@@H](CC)C2=CC=C(C=C2)OP(=O)(O)[O-].[Na+]
140,102-01-2,3.485768733,CC(=O)CC(=O)NC1=CC=CC=C1
141,102-06-7,2.359835482,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N
142,102-09-0,3.176091259,C1=CC=C(C=C1)OC(=O)OC2=CC=CC=C2
143,102-13-6,3.698970004,CC(C)COC(=O)CC1=CC=CC=C1
144,102-17-0,3.698970004,COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2
145,102-20-5,4.176091259,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2
146,102-22-7,3.698970004,CC(=CCC/C(=C/COC(=O)CC1=CC=CC=C1)/C)C
147,102-24-9,3.712649702,B1(OB(OB(O1)OC)OC)OC
148,102-27-2,2.763427994,CCNC1=CC=CC(=C1)C
149,102-30-7,2.86332286,CCCCCCCCCCCC[N+](C)(C)CC1=CC(=C(C=C1)Cl)Cl.[Cl-]
150,102-71-6,3.830267801,C(CO)N(CCO)CCO
151,102-81-8,3.029383778,CCCCN(CCCC)CCO
152,1020-35-5,1.544068044,CCC(C)C1=C(C=CC(=C1)OC(=O)NC)C
153,102071-30-7,2.602059991,C1CCNC(C1)C(C2=CC=CC=C2)(C3=CC=C(C=C3)Cl)O.Cl
154,1021-19-8,3.243038049,C1C2C(C(O1)O)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl
155,102207-73-8,3.0,CCCCN(CCCC)CCOC1=NC(=NC=C1)N
156,102207-77-2,3.176091259,CN(C)CCOC1=NC(=NC=C1)N
157,102251-91-2,3.477121255,CCS(=O)(=O)CCC(=O)NNC(=O)N1CC2=CC=CC=C2OC3=C1C=C(C=C3)Cl
158,102268-15-5,3.525433553,CCC1=CC(=C(N=C1)C(=O)O)C(=O)O
159,10232-92-5,2.491361694,CC(C)(CO)C(C#N)O
160,10232-93-6,3.523746467,COCCOC(=O)\C=C/C(=O)OCCOC
161,102324-40-3,2.954242509,COC1=CC(=CC(=C1OC)OC)NC(=O)OCCCN2CCN(CC2)C3=CC=CC=C3.C(=C\C(=O)O)\C(=O)O
162,10235-09-3,2.913813852,C(CCl)OP(=S)(OCCCl)OCCCl
163,102366-79-0,3.322219295,C1NC2=C(N1)N=CN=C2NCC3=CC=CC=C3
164,10238-21-8,4.301029996,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3
165,102394-31-0,3.185542155,CCN(CC)CC1CCCCN1CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4
166,1024-57-3,1.176091259,C12C(C(C3C1O3)Cl)C4(C(=C(C2(C4(Cl)Cl)Cl)Cl)Cl)Cl
167,102410-20-8,3.176091259,CN(C)CC(=O)N/N=C/C1=C(N=C2N1C=CS2)Cl
168,102410-37-7,3.0,CC1=C(N2CCSC2=N1)/C=N/NC(=O)CN(C)C
169,102410-39-9,2.903089987,CC1=CC=C(C=C1)C2=C(N3CCSC3=N2)/C=N/NC(=O)CN(C)C
170,102410-40-2,3.0,CN(C)CC(=O)N/N=C/C1=C(N=C2N1CCS2)Cl
171,1025-15-6,2.924106913,C=CCN1C(=O)N(C(=O)N(C1=O)CC=C)CC=C
172,102518-79-6,1.176091259,CC=C1[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3
173,102579-43-1,2.875061263,CCCNC(=O)C(CC1=CC=C(C=C1)OCCN(CC)CC)NC(=O)C2=CC=CC=C2
174,102601-34-3,3.301029996,C1CCC(CC1)NCC(CS(=O)(=O)[O-])O.[Na+]
175,10262-69-8,2.932811869,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24
176,10265-92-6,1.224014811,COP(=O)(N)SC
177,10265-93-7,0.698970004,CCOP(=O)(N)SC
178,102676-31-3,2.301029996,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N.Cl
179,10268-78-7,4.029383778,CC(=O)NC1=CC(=CC=C1)NC(=O)C
180,102851-06-9,3.301029996,CC(C)[C@H](C(=O)OC(C#N)C1=CC(=CC=C1)OC2=CC=CC=C2)NC3=C(C=C(C=C3)C(F)(F)F)Cl
181,10291-28-8,3.698970004,CC1=CC=C(C=C1)NC2=CC(=C(C=C2C(=O)O)NC3=CC=C(C=C3)C)C(=O)O
182,103-05-9,3.342422681,CC(C)(CCC1=CC=CC=C1)O
183,103-07-1,3.685741739,CC(=O)OC(C)(C)CCC1=CC=CC=C1
184,103-09-3,3.477121255,CCCCC(CC)COC(=O)C
185,103-11-7,3.749253068,CCCCC(CC)COC(=O)C=C
186,103-16-2,3.505149978,C1=CC=C(C=C1)COC2=CC=C(C=C2)O
187,103-28-6,3.45484486,CC(C)C(=O)OCC1=CC=CC=C1
188,103-29-7,3.654946227,C1=CC=C(C=C1)CCC2=CC=CC=C2
189,103-33-3,3.0,C1=CC=C(C=C1)N=NC2=CC=CC=C2
190,103-34-4,3.694605199,C1COCCN1SSN2CCOCC2
191,103-36-6,3.602059991,CCOC(=O)/C=C/C1=CC=CC=C1
192,103-37-7,3.367355921,CCCC(=O)OCC1=CC=CC=C1
193,103-38-8,3.698970004,CC(C)CC(=O)OCC1=CC=CC=C1
194,103-41-3,3.736794755,C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=CC=C2
195,103-44-6,3.130333768,CCCCC(CC)COC=C
196,103-45-7,3.664955206,CC(=O)OCCC1=CC=CC=C1
197,103-48-0,3.716003344,CC(C)C(=O)OCCC1=CC=CC=C1
198,103-53-7,3.698970004,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC=CC=C2
199,103-54-8,3.51851394,CC(=O)OCC=CC1=CC=CC=C1
200,103-56-0,3.531478917,CCC(=O)OC/C=C/C1=CC=CC=C1
201,103-59-3,3.698970004,CC(C)C(=O)OC/C=C/C1=CC=CC=C1
202,103-60-6,3.698970004,CC(C)C(=O)OCCOC1=CC=CC=C1
203,103-63-9,2.909020854,C1=CC=C(C=C1)CCBr
204,103-64-0,3.096910013,C1=CC=C(C=C1)/C=C/Br
205,103-65-1,3.781036939,CCCC1=CC=CC=C1
206,103-71-9,2.939519253,C1=CC=C(C=C1)N=C=O
207,103-74-2,3.783206578,C1=CC=NC(=C1)CCO
208,103-82-2,3.352182518,C1=CC=C(C=C1)CC(=O)O
209,103-83-3,2.423245874,CN(C)CC1=CC=CC=C1
210,103-84-4,2.903089987,CC(=O)NC1=CC=CC=C1
211,103-85-5,0.477121255,C1=CC=C(C=C1)NC(=S)N
212,103-90-2,3.336859821,CC(=O)NC1=CC=C(C=C1)O
213,103-95-7,3.580924976,CC(C)C1=CC=C(C=C1)CC(C)C=O
214,10305-38-1,3.397940009,CCCCCCOCC(CO)O
215,10305-41-6,3.301029996,C1CCC(CC1)OCC(CO)O
216,103079-06-7,3.698970004,CC(C)([C@@H]1CC=C([C@H](C1)O)CCO)O
217,1031-47-6,1.301029996,CN(C)P(=O)(N1C(=NC(=N1)C2=CC=CC=C2)N)N(C)C
218,10310-32-4,4.301029996,CCOC1[C@@H]([C@H]([C@H](O1)[C@@H](COCC2=CC=CC=C2)OCC3=CC=CC=C3)OCC4=CC=CC=C4)O
219,10310-38-0,4.0,C(C[P+](CCC#N)(CCC#N)CC[P+](CCC#N)(CCC#N)CCC#N)C#N.[Br-].[Br-]
220,103112-35-2,3.698970004,CCOC(=O)C1=NN(C(=N1)C(Cl)(Cl)Cl)C2=C(C=C(C=C2)Cl)Cl
221,10312-19-3,2.274157849,COP(=S)(OC)SC(CBr)N1C(=O)C2=CC=CC=C2C1=O
222,10312-20-6,1.255272505,CCOP(=S)(OCC)SC(CBr)N1C(=O)C2=CC=CC=C2C1=O
223,10326-41-7,3.664618474,C[C@H](C(=O)O)O
224,10329-95-0,3.903089987,C1CC(=O)N(C(=O)C1N2C(=O)C3=CC=CC=C3C2=O)CN4CCOCC4
225,10329-96-1,3.903089987,C1COCCN1CN2C(=O)CC(CC2=O)N3C(=O)C4=CC=CC=C4C3=O
226,10331-57-4,1.0,C1=C(C=C(C(=C1C2=C(C(=CC(=C2)Cl)[N+](=O)[O-])O)O)[N+](=O)[O-])Cl
227,103335-54-2,3.301029996,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)O)CC=C4[C@@]3(CCC(=O)N4)C
228,103361-09-7,3.698970004,C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F
229,1034-01-1,3.368286885,CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O
230,103446-98-6,3.376576957,CCCCN1C2=NN(C(=C2C(=O)N(C1=O)CCC)NC)C(=O)OC
231,10347-54-3,3.204119983,C1CC(CCC1CN=C=O)CN=C=O
232,103628-48-4,3.468199586,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C.C(CC(=O)O)C(=O)O
233,10389-72-7,2.521138084,CC(C)(CC1=CC=CC=C1Cl)N.Cl
234,103890-78-4,2.944482672,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2/C=C/C(=O)OC(C)(C)C)C(=O)OCC)C)C
235,1039-59-4,3.161368002,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)SC
236,10397-75-8,4.204119983,CNC(=O)C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C(=C(C(=C2I)C(=O)O)I)C(=O)NC)I)I)C(=O)O)I
237,104-14-3,3.093421685,C1=CC(=CC=C1C(CN)O)O
238,104-15-4,3.158362492,CC1=CC=C(C=C1)S(=O)(=O)O
239,104-20-1,3.698970004,CC(=O)CCC1=CC=C(C=C1)OC
240,104-27-8,3.698970004,CCC(=O)/C=C/C1=CC=C(C=C1)OC
241,104-40-5,3.209515015,CCCCCCCCCC1=CC=C(C=C1)O
242,104-45-0,3.643452676,CCCC1=CC=C(C=C1)OC
243,104-46-1,3.320146286,C/C=C/C1=CC=C(C=C1)OC
244,104-53-0,3.698970004,C1=CC=C(C=C1)CCC=O
245,104-54-1,3.301029996,C1=CC=C(C=C1)/C=C/CO
246,104-55-2,3.4557455304999998,C1=CC=C(C=C1)/C=C/C=O
247,104-57-4,3.146128036,C1=CC=C(C=C1)COC=O
248,104-62-1,3.507855872,C1=CC=C(C=C1)CCOC=O
249,104-64-3,3.611723308,C1=CC=C(C=C1)CCCOC=O
250,104-65-4,3.462397998,C1=CC=C(C=C1)/C=C/COC=O
251,104-66-5,3.698970004,C1=CC=C(C=C1)OCCOC2=CC=CC=C2
252,104-85-8,3.579783597,CC1=CC=C(C=C1)C#N
253,104-87-0,3.204119983,CC1=CC=C(C=C1)C=O
254,104-89-2,2.73239376,CCC1CCC(NC1)C
255,104-90-5,2.995342642,CCC1=CN=C(C=C1)C
256,104-92-7,3.280350693,COC1=CC=C(C=C1)Br
257,104-94-9,3.133538908,COC1=CC=C(C=C1)N
258,10402-52-5,3.633468456,CC(COC(=O)C)C1=CC=CC=C1
259,10402-53-6,2.882524538,CCOC(CN1CCN(CC1)CC(C)C(=O)C2=CC=CC=C2)C3=CC=CC=C3.Cl.Cl
260,104040-78-0,3.687291089,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC
261,10405-02-4,3.178976947,C1CC[N+]2(C1)[C@@H]3CC[C@H]2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O.[Cl-]
262,10411-92-4,3.06069784,CC(=O)OC1CCC(CC1)C(C)(C)C
263,10415-87-9,3.469822016,CCC(C)(CCC1=CC=CC=C1)O
264,10420-33-4,3.301029996,CC(=O)C(CC(=O)OC)C(=O)OC
265,104206-82-8,3.698970004,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-]
266,10423-37-7,3.255272505,C1=CC=C2C(C3=CC=CC=C3C=CC2=C1)C(=O)N
267,10436-39-2,2.544068044,C(C(=C(Cl)Cl)Cl)Cl
268,10443-70-6,3.152288344,CCOC(=O)CCCOC1=C(C=C(C=C1)Cl)C
269,10447-38-8,2.643452676,C1CN2CCC1C(C2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O.Cl
270,104485-01-0,3.012837225,CCCCCOC1=CC=CC(=C1)NC(=O)O[C@@H]2CCCC[C@H]2N3CCCC3
271,1045-21-2,2.919078092,CCN(CC)CCOCCOC(=O)C1(CCCC1)C2=CC=CC=C2.Cl
272,10453-86-8,3.200850498,CC(=CC1C(C1(C)C)C(=O)OCC2=COC(=C2)CC3=CC=CC=C3)C
273,104617-50-7,3.301029996,CC(=O)NC1CCC2=C(C1)SC(=N2)N.Br
274,104632-26-0,2.828659897,CCCN[C@H]1CCC2=C(C1)SC(=N2)N
275,104653-34-1,-0.255707017,C1C(CC2=CC=CC=C2C1C3=C(SC4=CC=CC=C4C3=O)O)C5=CC=C(C=C5)C6=CC=C(C=C6)Br
276,104683-52-5,2.583198774,CC1=CC(=CC=C1)N2CCN(CC2)CCCCN3C(=O)CNC3=O
277,1047-16-1,3.753327667,C1=CC=C2C(=C1)C(=O)C3=CC4=C(C=C3N2)C(=O)C5=CC=CC=C5N4
278,10474-14-3,2.892094603,CC(CCl)(CBr)Br
279,104821-37-6,2.673941999,CS(=O)(=O)O.C1CN(CCN1CCC(=O)N)C2CC3=C(C=CC(=C3)Cl)SC4=C2C=CC(=C4)F
280,10484-36-3,3.698970004,CCCCCOC1=C(C=C(C=C1)C=CC)OC
281,10486-14-3,3.698970004,C[C@@H](CCCC(=C)C)CCOC(=O)CC1=CC=CC=C1
282,104902-34-3,2.408239965,C1=CC(=CC(=C1)N2C(=O)C=CC3=C2N=CC=C3)C(F)(F)F
283,104907-82-6,3.261262869,CCC1=NC2=CC=CC=C2C(=O)N1C3=C(C=NN3C)C(=O)OCC
284,104987-11-3,2.127104798,C[C@@H]1C[C@@H]([C@@H]2[C@H](C[C@H]([C@@](O2)(C(=O)C(=O)N3CCCC[C@H]3C(=O)O[C@@H]([C@@H]([C@H](CC(=O)[C@@H](/C=C(/C1)\C)CC=C)O)C)/C(=C/[C@@H]4CC[C@H]([C@@H](C4)OC)O)/C)O)C)OC)OC
285,105-01-1,3.290034611,CC(C)COC(=O)CCC1=CC=CO1
286,105-05-5,3.301029996,CCC1=CC=C(C=C1)CC
287,105-11-3,2.666517981,C1=CC(=CC=C1NO)N=O
288,105-12-4,3.008600172,C1=CC(=CC=C1N=O)N=O
