,smiles,LogLD
50,C=CC1(C)CCC(C(C)(C)O)O1,2.170394382
51,CC(C=O)=Cc1ccccc1,1.853160834
52,NC(=O)C1(N2CCCCC2)CCN(CCCN2c3ccccc3CCc3ccccc32)CC1,2.639232777
53,O=C(NCc1cccnc1)Nc1ccc([N+](=O)[O-])cc1,4.65683897
54,COC(=O)Cl,2.903536014
55,CCOP(=O)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,4.5399576
56,Cc1c(I)c(=O)n(-c2ccccc2)n1C,2.183236664
57,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O,1.740211005
58,NC(=O)C(O)(c1ccccc1)c1ccccc1,2.166197037
59,COP(=S)(OC)Oc1ccc(C#N)cc1C,2.711387067
60,CCCCC(=O)c1ccc(N)cc1,3.324299607
61,COP(=O)(OC)OC(Br)C(Br)(Br)Br,3.406989792
62,CC(Cl)(Cl)C(=O)O,1.289072732
63,CCC(CC)C(=O)OCCOCCOCCOC(=O)C(CC)CC,1.761506865
64,COc1ccc(C(OC)C2CCCCC2N2CCCCC2)cc1,3.537918969
65,c1ccc(OP(Oc2ccccc2)Oc2ccccc2)cc1,2.482315484
66,CC(CO)CCO,1.280462462
67,O=S(=O)(O)c1cccc(Nc2nc(Nc3ccc(C=Cc4ccc(Nc5nc(Nc6cccc(S(=O)(=O)O)c6)nc(N(CCO)CCO)n5)cc4S(=O)(=O)O)c(S(=O)(=O)O)c3)nc(N(CCO)CCO)n2)c1,2.740011244
68,N#CC(F)(F)C(F)(F)C(F)(F)C#N,1.890500553
69,CCOCOC(=O)c1ccccc1Nc1c(Cl)ccc(C)c1Cl,3.062150642
70,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,4.507969435
71,c1coc(COCc2ccco2)c1,2.928656721
72,COc1cccc(O)c1,2.317933911
73,CC(C)(C)S,1.280393888
74,Cc1cc(OC(=O)N(C)C)n(-c2ccccc2)n1,3.597273989
75,O=C(OC1CCCCC1)C(Oc1ccc(Cl)cc1)Oc1ccc(Cl)cc1,2.642664529
76,COc1ccccc1C1C(Cl)C(=O)N1c1ccccc1C(=O)O,2.140606235
77,CCCN(CCC)N=O,2.433339725
78,CCCC=C1OC(=O)c2ccccc21,2.007507885
79,CN(C)CCC(c1ccccc1)c1ccccn1,2.664840783
80,CCCCCOc1c(Br)cc(Br)cc1COCCN(CC)CC,3.110342434
81,CC(N)C(O)c1ccccc1,2.006391373
82,CC(C)OP(C)(=S)Oc1cc(Cl)c(Br)cc1Cl,3.714232126
83,CCCCNC(=O)NS(=O)(=O)c1ccc(N)cc1,1.790064345
84,CCN(CC)C(=S)SSC(=S)N(CC)CC,1.854995627
85,CC1=CC(=C2C(=O)c3ccccc3C2=O)C=CN1CCN1CCCCC1,2.951070876
86,CC(=O)NC(N)=S,3.373504153
87,Cc1ccc2[nH]nnc2c1,1.920234235
88,COc1ccc2c(c1)c(CC(=O)Oc1ccccc1C(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.904820065
89,O=C(O)C(=O)O,1.079345282
90,CC(=O)O,1.24450137
91,CC(CO)Oc1ccccc1,1.730608242
92,O=[N+]([O-])c1cc2c(ccc3ccccc32)o1,2.686306384
93,CCCCSP(=O)(N(C)C)N(C)C,3.0327853
94,CCN(CC)P1(=S)OCc2cc([N+](=O)[O-])ccc2O1,3.304335395
95,CC(C)N(C(=O)CO)c1ccc(F)cc1,2.569655669
96,CCCCCCCCCCCCCCCCCCOC(=O)Cc1ccc(N(CCCl)CCCl)cc1,3.422137419
97,Oc1ccc(Cl)cc1-c1ccccc1,1.766956437
98,COC(=O)C1C(C)=NC(C)=C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-],2.489966306
99,CCOC(=O)C1C(C)=NC(C)=C(C(=O)OC)C1c1cccc(Cl)c1Cl,2.563434749
100,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,3.143782265
101,CNC,1.810176651
102,CNC(=O)N(C)c1nnc(C(F)(F)F)s1,2.936546287
103,CCCCCCCCC(CCCCCC)COc1ccccc1C(N)=O,1.914345079
104,CCCCN,2.293606078
105,CCOP(=S)(Cl)OCC,2.148473732
106,Nc1ccccn1,2.67263808
107,O=c1nc(O)n(Cl)c(=O)n1Cl,2.212012136
108,Cc1ccccc1O,1.763540457
109,C[S+]([O-])CC(=O)c1ccccn1,1.446760022
110,CCCCBr,1.665932639
111,COc1ccc2c(c1)C13CCCCC1C(C2)N(C)CC3,3.369158255
112,CC(C)CO,1.362772011
113,N#CC1CCCCC1,3.13502128
114,COc1c(OP(=S)(OC(C)C)OC(C)C)cnn(C)c1=O,4.505602133
115,CCOC(=O)C(C)Nc1ccc(Cl)c(Cl)c1,1.874458624
116,CNc1snc2ccccc12,2.613400435
117,O=C1N(Cl)C2C(N1Cl)N(Cl)C(=O)N2Cl,2.114561335
118,CC(=O)OCCC(C)CCC=C(C)C,1.464826942
119,CC(C)c1cccc(C(C)C)c1N=C=Nc1c(C(C)C)cccc1C(C)C,2.785594641
120,CCCCOC(=O)CC(C(=O)OCCCC)P(=O)(OCCCC)OCCCC,1.625782258
121,c1ccc(N(CCN2CCCCC2)Cc2ccccn2)cc1,2.601222875
122,COc1ccc2c(c1)c(CC(=O)Oc1ccccc1C(=O)Oc1ccccc1C(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1,3.977365718
123,CC(O)COCC1OC(O)C(OCC(C)O)C(OCC(C)O)C1O,1.549445384
124,c1ccc(-c2cccc(-c3ccccc3)c2)cc1,1.982101554
125,CN(C)C(CSS(=O)(=O)O)CSS(=O)(=O)O,2.970913423
126,CC1OC=CC(=O)C1=O,1.883795762
127,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1Br,1.56300053
128,NC(=O)N=NC(N)=O,1.254323244
129,CC(COC(=O)c1ccccc1)OC(=O)c1ccccc1,1.903320706
130,CC1(COCC2(C)CO2)CO1,1.973888962
131,CCCCN1C(=O)c2cccc([N+](=O)[O-])c2C1=O,2.087372226
132,CCOC(=O)CC(=O)C(F)(F)F,2.33311834
133,N#CN=c1ccccn1Cc1c(Cl)cccc1Cl,2.745296569
134,Oc1ccc(Cc2ccc(O)cc2)cc1,1.606939131
135,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,1.78100548
136,CCC(CC)C(=O)OCC(Br)(Br)Br,1.978753262
137,CCCCOC(=O)c1ccccc1O,2.057867389
138,CC1=CC(C)(C)Nc2ccccc21,1.694627759
139,CCCSP(C)(=S)OP(C)(=S)SCCC,3.695566533
140,CC(Cl)COP(=O)(OCC(C)Cl)OCC(C)Cl,2.507985819
141,NC(=S)Nc1cc(Cl)ccc1Cl,2.867491058
142,CCCCCCCCCOC(=O)C1=CN=CC(/C(O)=N/C2CCCC2)C1c1ccccc1[N+](=O)[O-],4.684494375
143,C=CCN(C)N=O,2.469046262
144,O=C(CCCN1CCC(O)(c2cccc(C(F)(F)F)c2)CC1)c1ccc(F)cc1,3.466044201
145,CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)C(OC=O)CC65O)C4)OC3C)OC2C)CC(O)C1O,4.431384702
146,O=C1CN(N=Cc2ccc([N+](=O)[O-])o2)C(=O)N1,2.595830059
147,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,1.470893915
148,CC(=O)OC1C(O)C2OC3C=C(C)C(=O)C(O)C3(CO)C1(C)C21CO1,4.947378574
149,CCOC(O)C(Cl)(Cl)Cl,2.342101777
150,O=C(NC(CO)C(O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,2.007636239
151,CCCCCCC=O,1.294117601
152,CCC1(CO)CCCN2CCc3c([nH]c4ccccc34)C21,2.374752927
153,CN(C)CCn1c2ccccc2c(=O)c2c([N+](=O)[O-])cccc21,3.880452459
154,CCCCCCCCCCCCCCCCOC(=O)Cc1ccc(N(CCCl)CCCl)cc1,3.699486508
155,COc1ccc(SC#N)c([N+](=O)[O-])c1,1.77414938
156,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O,2.496078044
157,CON(C)C(=O)CC(SP(=S)(OC)OC)C(=O)N(C)OC,4.410649516
158,COP(=S)(OC)SCSCCOC(N)=O,3.82097129
159,COP(=S)(NC(C)C)Oc1ccc(Cl)cc1Cl,3.065806477
160,C[n+]1ccccc1,2.518915494
161,Cc1ccccc1COC1CC2(C(C)C)CCC1(C)O2,1.780092788
162,COCCOC(N)=O,1.075941257
163,CCOC(C)(C)C,1.569704718
164,O=P1(N(CCCl)CCCl)NCCCO1,3.302845223
165,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3,2.301991555
166,CSc1nc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1,2.640167693
167,O=C(O)C1CSC(c2ccccc2O)N1C(=O)CCS,1.577544462
168,CCOP(=S)(OCC)OCC[S+]([O-])CC,3.438295466
169,CC(C)c1ccc2c(c1)CCC1C(C)(C(=O)O)CCCC21C,2.244764534
170,CCN(CC)c1nc(N(C=NC2CC(C)(C)NC(C)(C)C2)C2CC(C)(C)NC(C)(C)C2)nc(N(C=NC2CC(C)(C)NC(C)(C)C2)C2CC(C)(C)NC(C)(C)C2)n1,2.982430581
171,C=CCC(CCN(CC)CC)(C(=O)OCC)c1ccccc1,3.181051421
172,C=CCOC(=O)C=CC(=O)OCC=C,2.815582175
173,COCC(C)O,1.315543595
174,O=[N+]([O-])OCCOCCO[N+](=O)[O-],2.354491715
175,C=COCCO,1.352828727
176,CC(C)(C)c1cc(Cn2c(=O)n(Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c(=O)n(Cc3cc(C(C)(C)C)c(O)c(C(C)(C)C)c3)c2=O)cc(C(C)(C)C)c1O,2.098419186
177,CCOC(=O)CCl,2.800515129
178,OCC(O)C(O)C(OC1OC(CO)C(O)C(O)C1O)C(O)CO,1.536909993
179,CCN(CCNC(=O)SCC(C)C)C(=O)SCC(C)C,2.072891263
180,CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,2.534109466
181,O=C1OC2C(O)C(O)OC2C1O,1.245775113
182,CC(Oc1c(Cl)cccc1Cl)C1=NCCN1,3.568429711
183,Cc1ccc(C(N)=O)cc1N,1.879292278
184,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,2.411945502
185,CCCCC(CC)C(=O)OOC(C)(C)C,1.335098682
186,CN1CCC(c2c[nH]c3ccccc23)C1,2.685698373
187,CC(=O)C(C)C,1.418110743
188,CCC(=C(c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,1.957203017
189,O=C(O)CS,3.050535362
190,CNC(=O)Oc1ccccc1C1OCCCO1,3.222927029
191,O=[N+]([O-])c1ccccc1Cl,2.784135182
192,CC1CCC(=O)O1,1.056025155
193,CCCCCCCOCCO,1.846882162
194,CC(C)(c1ccccc1)c1ccc(Nc2ccc(C(C)(C)c3ccccc3)cc2)cc1,2.168591294
195,Cc1c(O)cccc1O,2.792878247
196,C[N+]1(CC2COC(c3ccccc3)(C3CCCCC3)O2)CCCCC1,2.843486229
197,Nc1cccc2c3c([nH]c12)CCCC3,2.131812237
198,Nc1nnc(C=Cc2ccc([N+](=O)[O-])o2)s1,2.103991533
199,CCC(c1ccccc1)c1noc(CCN(CC)CC)n1,2.312369306
200,COC(C)CC(OC)OC,2.000592349
201,CC(=O)CCl,2.911263232
202,CC=CC=CC(=O)OCCC[Si](OC)(OC)OC,2.062520261
203,CCOCC(O)COC(C)C,1.335067228
204,CCCCC(O)C(N)CC,2.421741491
205,Clc1cccc(Cl)c1,2.269702061
206,CCC(C)c1ccc(Oc2ccc(C)cc2CC(=O)O)c(Cl)c1,2.477287004
207,CCOP(=O)(O)Sc1ccc(C)cc1,3.666968889
208,CO[PH](=O)OC,1.541899018
209,CCOP(=O)(OCC)OC(=C(Cl)Cl)c1ccc(Cl)cc1Cl,4.115509119
210,c1ccc(P(C2CCCCC2)C2CCCCC2)cc1,2.524551262
211,CC1c2cccc(O)c2C(=O)C2C(=O)C3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)C3C(O)C21,2.417364218
212,CCCC(C(=O)OCCN(CC)CC)(c1ccccc1)c1ccccc1,2.217983016
213,CCOC(=O)C=CN(C)C,1.502688043
214,COc1ccccc1OCC(O)COC(N)=O,2.261880789
215,CC[N+](C)(C)CCO,1.231884242
216,OCP(CO)CO,2.843267782
217,CC(C)=CC1C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,3.072145809
218,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,2.575661818
219,O=[N+]([O-])c1cccc(O)c1,2.271785415
220,CCNC(=S)OC(C)C,2.634326134
221,CCCCCCCCCCO,1.255055803
222,Cc1ccc(C)n1Nc1ccc(N2CCOCC2)nn1,2.084520672
223,CC1=CCC(C(C)C)=CC1,1.572005395
224,CC(=O)C=Cc1ccc2c(c1)OCO2,1.677145955
225,CCCCOP(=O)(CC)SC,4.761335174
226,CC1=CCC(O)(C(C)C)CC1,1.741075588
227,CC(=O)N(/C(=N/c1cccnc1)NC#N)C(C)(C)C,2.624949174
228,O=C(O)C1=CC(=C(c2ccc(O)c(C(=O)O)c2)c2ccc(O)c(C(=O)O)c2)C=CC1=O,1.671424848
229,CCOc1ccc(CC2=NCCc3cc(OCC)c(OCC)cc32)cc1OCC,2.866959761
230,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,2.35848879
231,NCCC[Si]12OCCN(CCO1)CCO2,1.602725898
232,CN(N=Nc1ccccc1)N=Nc1ccccc1,3.052574169
233,CN1CCN(CCC(O)=NN=Cc2ccc([N+](=O)[O-])o2)CC1,3.013295171
234,O=C(O)O,1.353069181
235,Cc1ccc(O)c(C(C)(C)C)c1,1.768342059
236,c1ccc2[nH]ccc2c1,2.068746
237,NC1CCCCC1,2.139078471
238,CC(=O)OOC(C)(C)C,1.712517618
239,CC(=O)OC1CC2CCC3C(CCC4(C)C3CC([N+]3(C)CCCCC3)C4OC(C)=O)C2(C)CC1[N+]1(C)CCCCC1,3.452708501
240,CC(O)CO,0.881312694
241,CC[N+]1(CCOC(=O)C(O)(c2ccccc2)c2ccccc2)CCCCC1,1.903676125
242,Oc1ccccc1-c1ccccc1,2.13407761
243,CCNc1nc(NC(C)C(C)C)nc(SC)n1,1.930084334
244,COP(=S)(OC)Oc1ccc([S+](C)[O-])c(C)c1,3.37193042
245,Cc1cc(C)c(C2C(=O)c3ccccc3C2=O)c(C)c1,2.422136598
246,CC(=O)OC(C)=O,2.2096384
247,O=C1CCCC1,1.450672674
248,Nc1ccc(N=Nc2ccccc2)c(N)c1,2.204644097
249,S=C=Nc1ccc(N=C=S)cc1,3.961687714
250,CC(C)=CCO,1.85599337
251,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,1.568831518
252,Cc1ccc2c(c1)c(-c1ccccc1)cn2N(C)CCN(C)C,1.94369374
253,CC(Cl)CCl,1.736429175
254,CCCCCCCOCCOCCO,1.841942293
255,CC(C)CC(C)OC(=O)C=CC(=O)OC(C)CC(C)C,1.588227424
256,C1CO1,2.340779432
257,Nc1c(Cl)cc(C(=O)NC2CC2)cc1Cl,3.158910337
258,CCCC1OP(=S)(Cl)OCC1CC,2.907962837
259,CN1CCN(CC2C(O)=Nc3ccccc3SC2c2ccccc2)CC1,2.646200522
260,CCP(=S)(OC)SCN1C(=O)c2ccccc2C1=O,4.64754275
261,COc1ccc([N+](=O)[O-])cc1N,1.873519519
262,COP(=S)(OC)SCSc1ccc(Cl)cc1,3.816822457
263,CCN1CCc2c3n(c4ccccc24)C(C(=O)OC)=CCC31,2.101136148
264,CCN(CC)Cc1nccn1-c1ccc([N+](=O)[O-])cc1C(=O)c1ccccc1Cl,2.417163603
265,Cc1ccc2nc3sc(=O)sc3nc2c1,2.208413554
266,COc1cc2c(cc1OC)C(CCc1ccc(Cl)cc1)N(C)CC2,2.936852903
267,O=C1N=CC(N(CCCl)CCCl)C(=O)N1,4.851346215
268,CCC(C)C(C)(COC(N)=O)COC(N)=O,2.301553828
269,Cc1ccc(O)cc1,2.128190485
270,S=C1NCCC(COc2ccccc2)O1,2.006460208
271,COc1ccc(CC2CN=C(O)N2)cc1OC1CCCC1,2.684790024
272,C=C1CCC(O)CC1=CC=C1CCCC2(C)C1CCC2C(C)CCCC(C)C,3.961814188
273,CN(C)CCCOc1nn(Cc2ccccc2)c2ccccc12,2.512814951
274,COc1ccc(N=NN(C)C)cc1,2.713064268
275,ClC=Cc1ccccc1,1.425750486
276,CN(C)C(C)(C)CO,1.835394206
277,Nc1cc(-c2ccccc2)ccc1O,1.913209348
278,OCCCCO,1.737083748
279,CCC1N=C(O)c2cc(N)ccc2O1,2.00733225
280,CC1OC(OC2C(O)C(O)C(O)C(O)C2O)C(N)CC1NC(=N)C(=O)O,1.595657667
281,COC(=O)c1ccc(C(=O)OC)cc1,1.570963603
282,CC(C)c1cccc(C(C)C)c1O,2.552120441
283,Cn1c(=O)c2c(ncn2CCCCCN2CCN(c3cccc(C(F)(F)F)c3)CC2)n(C)c1=O,2.860355251
284,CN(C)CCOCCN(C)C,2.386601955
285,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C,2.602749387
286,C=CC(=O)OC,2.321110886
287,C=C(C)C(=O)OCc1ccccc1,1.580180574
288,OCCOCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,2.658389917
289,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,2.835285011
290,O=C(O)CONC(=O)c1ccccc1,1.892481954
291,O=C(C[S+]([O-])Cc1ccco1)NCC=CCOc1cc(CN2CCCCC2)ccn1,2.538824586
292,O=C(O)c1cc(I)cc(I)c1I,2.356383129
293,O=C(Nc1ccc(Cl)cc1)c1cc(Cl)cc(-c2ccc(Cl)cc2)c1O,2.145320297
294,Cc1c(Cl)cc(-c2ccc(O)nn2)cc1Cl,1.406673841
295,Nc1ccc(Oc2ccc(N)cc2)cc1,2.441214999
296,O=C(O)CC(O)C(=O)O,1.245146826
297,O=C(O)c1cc(Oc2ccc(C(F)(F)F)cc2Cl)ccc1[N+](=O)[O-],2.42157871
298,CN(C)C1CSSSC1,2.968485343
299,CCOC(C)CO,1.165785504
300,COc1cc(C)c2c(Oc3cccc(C(F)(F)F)c3)c(OC)cc(NC(C)CCCN)c2n1,3.046956408
301,CC1CN(CCO)CC1C,2.06612888
302,CCCCC(C)=O,1.587398888
303,CC(C)c1cccc(C(C)C)c1N,1.658346511
304,CCOP(=S)(OCC)SCn1nc(Br)ccc1=O,4.094859945
305,N#CCc1ccc(Cl)cc1,3.481717738
306,O=C(O)Cc1ccc2c(c1)OCc1ccccc1C2=O,3.387176186
307,CN1CCC2=C(C1)c1ccccc1Cc1ccccc12,2.67374265
308,O=C(O)CNC(=O)c1ccc(Cl)cc1,1.981337048
309,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1,2.382059801
310,CCNCC,1.146478515
311,C=CC=CC=CCCCCC,1.298163735
312,ClCCl,1.545261099
313,O=P(O)(O)OC(=CCl)c1ccc(Cl)cc1Cl,4.368165257
314,O=C(O)C(Cl)(Cl)Cl,1.742660013
315,COP(=S)(OC)OC,2.443786204
316,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1,2.074280008
317,Oc1ccc(Nc2ccccc2)cc1,1.749188008
318,COc1ccc(CC(=O)O)cc1,2.030236603
319,CCCCc1ccn[nH]1,2.387358354
320,c1ccc2[nH]c(SN3CCCCC3)nc2c1,2.437040162
321,C=CCC1=C(C)C(OC(=O)C2C(C)(C)C2(C)C)CC1=O,3.200951079
322,CCO[Si](CCC#N)(OCC)OCC,1.588411105
323,OCCOCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1,2.735080251
324,NCc1ccc(S(N)(=O)=O)cc1,1.305709706
325,Clc1ccc(N2CCN(CC=Cc3ccccc3)CC2)nn1,2.814115184
326,COP(=S)(NC(=S)N(C)CCO)OC,4.332951567
327,CCOC(CC)(C1=NCC(C)(C)CN1)c1ccc(Cl)cc1,3.726323831
328,O=C(CCc1ccccc1)OC1=C(OC(=O)CCc2ccccc2)C(=O)OC1=O,1.595913781
329,CC(=O)OCc1ccccc1,1.722215957
330,CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O,1.593197426
331,CC(C)(C)N(Cl)Cl,2.260282427
332,CCCCN(CC)N=O,2.534797366
333,O=C(O)COc1ccc(Cl)cc1Cl,2.697085937
334,CCCN(CCC)CCC,3.003496908
335,C=CCSCC=C,1.583499275
336,C=C(C)C(=O)OCCSCCCC,1.5817608
337,Cc1cccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)c1,2.349092056
338,CCC(CC)C(=O)N=C(Cc1ccc(OC)cc1)C(=O)O,1.862350559
339,C1=CCC=C1,2.767142726
340,N/C(CNc1ccc(Cl)c(Cl)c1)=N\O,2.980209356
341,CNC(C)=O,0.988826407
342,CO[SiH](OC)OC,1.277295325
343,COCCOC,1.224856535
344,CN(C)c1ccc(-c2nc(=O)n(C)nc2-c2ccc(N(C)C)cc2)cc1,2.066248876
345,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,3.358933297
346,CCC(=O)OCc1ccc(OC)cc1,1.765872077
347,Nc1ccc(C(=O)Nc2ccccc2N)cc1,3.378812774
348,c1ccc2c(c1)-c1cccc3cccc-2c13,1.76183337
349,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,2.383789942
350,CC(C)(C)C(=O)OCOC(=O)C1N2C(=O)C(N=CN3CCCCCC3)C2SC1(C)C,1.665312343
351,CC(O)c1cccc(N)c1,1.645935436
352,CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)n1cncn1,2.603486633
353,O=c1oc2cc(Cl)ccc2n1CO,1.852987275
354,CCOP(=O)(CC)SC,4.563062996
355,CC(CN(C)C)C(C)(O)Cc1ccc(Cl)cc1,2.503707496
356,CCOC(=O)C1=CN(C(C)=O)C2CCCC(C)N2C1=O,2.050589732
357,OCC(Cl)CCl,3.156300066
358,CNC(=O)ON=C1C2CCC(C2)C1(C)[N+](=O)[O-],4.00225068
359,O=C(Cl)CCCCCCCCC(=O)Cl,2.776595866
360,O=C(O)CCCO,1.031147811
361,CSC(C)=NOC(=O)N(C)SN1CCOCC1,3.425016895
362,CN(C)CCC#N,1.702966273
363,Cc1ccc2ccccc2c1,1.940715046
364,CC(C)(O)c1ccccc1,2.020214623
365,CC(Cl)(C=O)CCl,1.939694858
366,O=[N+]([O-])c1ccc(O)cc1,2.862324983
367,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,2.381967416
368,CCCCCCCCC=CCCCCCCCC(=O)O,1.450925828
369,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,1.912994427
370,CCCCCCCCCCCO,1.759194269
371,CC(C)(C)CC(C)(C)N,2.592906531
372,Nc1ccc(C(=O)c2ccccc2)c(C(=O)O)c1,1.650066361
373,CCCN(CCC)C(=O)C(CCC(=O)O)NC(=O)c1ccccc1,1.524243621
374,C=CC(=O)N1CN(C(=O)C=C)CN(C(=O)C=C)C1,2.852601969
375,CC=CCCCCCCCC(=O)OC,1.8202146
376,O=C(O)CCCNS(=O)(=O)c1cccc(C(F)(F)F)c1,1.493109186
377,C#N,3.431781772
378,CNC(=N)N/C(O)=N/c1c(C)cccc1C,3.071125575
379,CCOc1ccccc1OS(=O)(=O)N/C(O)=N/c1nc(OC)cc(OC)n1,2.13642307
